date,open,high,low,close,adj close,volume,dividends,stock splits
2025-12-02,1013.0,1025.0,999.0,1000.0,1000.0,62200,0.0,0.0
2025-12-03,1000.0,1005.0,972.0,991.0,991.0,92600,0.0,0.0
2025-12-04,999.0,1003.0,973.0,979.0,979.0,59800,0.0,0.0
2025-12-05,1009.0,1079.0,1005.0,1064.0,1064.0,206300,0.0,0.0
2025-12-08,1051.0,1110.0,1045.0,1104.0,1104.0,198800,0.0,0.0
2025-12-09,1102.0,1123.0,1080.0,1113.0,1113.0,243100,0.0,0.0
2025-12-10,1110.0,1129.0,1110.0,1124.0,1124.0,106600,0.0,0.0
2025-12-11,1125.0,1125.0,1096.0,1100.0,1100.0,123900,0.0,0.0
2025-12-12,1101.0,1121.0,1090.0,1121.0,1121.0,104200,0.0,0.0
2025-12-15,1125.0,1146.0,1120.0,1145.0,1145.0,99100,0.0,0.0
2025-12-16,1152.0,1191.0,1139.0,1152.0,1152.0,212100,0.0,0.0
2025-12-17,1145.0,1198.0,1134.0,1173.0,1173.0,132000,0.0,0.0
2025-12-18,1175.0,1219.0,1174.0,1219.0,1219.0,164900,0.0,0.0
2025-12-19,1212.0,1263.0,1188.0,1226.0,1226.0,172900,0.0,0.0
2025-12-22,1249.0,1271.0,1226.0,1270.0,1270.0,177300,0.0,0.0
2025-12-23,1281.0,1307.0,1272.0,1284.0,1284.0,169600,0.0,0.0
2025-12-24,1298.0,1335.0,1257.0,1263.0,1263.0,222900,0.0,0.0
2025-12-25,1255.0,1284.0,1255.0,1278.0,1278.0,92400,0.0,0.0
2025-12-26,1289.0,1326.0,1275.0,1284.0,1284.0,161400,0.0,0.0
2025-12-29,1294.0,1327.0,1276.0,1312.0,1312.0,133600,0.0,0.0
2025-12-30,1312.0,1312.0,1231.0,1239.0,1239.0,160800,0.0,0.0
2026-01-05,1269.0,1277.0,1194.0,1220.0,1220.0,148600,0.0,0.0
2026-01-06,1221.0,1242.0,1214.0,1216.0,1216.0,75600,0.0,0.0
2026-01-07,1218.0,1241.0,1206.0,1206.0,1206.0,77600,0.0,0.0
2026-01-08,1197.0,1240.0,1197.0,1232.0,1232.0,83800,0.0,0.0
2026-01-09,1259.0,1260.0,1217.0,1241.0,1241.0,65900,0.0,0.0
2026-01-13,1271.0,1285.0,1224.0,1240.0,1240.0,134000,0.0,0.0
2026-01-14,1250.0,1250.0,1205.0,1206.0,1206.0,85500,0.0,0.0
2026-01-15,1224.0,1247.0,1219.0,1234.0,1234.0,81800,0.0,0.0
2026-01-16,1259.0,1265.0,1223.0,1226.0,1226.0,62300,0.0,0.0
2026-01-19,1226.0,1227.0,1164.0,1172.0,1172.0,145600,0.0,0.0
2026-01-20,1176.0,1198.0,1146.0,1156.0,1156.0,113300,0.0,0.0
2026-01-21,1134.0,1159.0,1130.0,1140.0,1140.0,84000,0.0,0.0
2026-01-22,1162.0,1162.0,1140.0,1147.0,1147.0,51800,0.0,0.0
2026-01-23,1155.0,1182.0,1140.0,1145.0,1145.0,68600,0.0,0.0
2026-01-26,1138.0,1147.0,1114.0,1130.0,1130.0,76300,0.0,0.0
2026-01-27,1125.0,1135.0,1110.0,1110.0,1110.0,73700,0.0,0.0
2026-01-28,1113.0,1113.0,1079.0,1089.0,1089.0,89500,0.0,0.0
2026-01-29,1090.0,1141.0,1084.0,1134.0,1134.0,149900,0.0,0.0
2026-01-30,1114.0,1114.0,1071.0,1087.0,1087.0,130300,0.0,0.0
2026-02-02,1096.0,1136.0,1091.0,1106.0,1106.0,100700,0.0,0.0
2026-02-03,1119.0,1149.0,1116.0,1145.0,1145.0,83200,0.0,0.0
2026-02-04,1150.0,1150.0,1105.0,1118.0,1118.0,102900,0.0,0.0
2026-02-05,1118.0,1163.0,1109.0,1149.0,1149.0,91600,0.0,0.0
2026-02-06,1140.0,1140.0,1100.0,1117.0,1117.0,108800,0.0,0.0
2026-02-09,1125.0,1125.0,1077.0,1123.0,1123.0,136600,0.0,0.0
2026-02-10,1135.0,1224.0,1130.0,1224.0,1224.0,170200,0.0,0.0
2026-02-12,1200.0,1217.0,1165.0,1171.0,1171.0,262500,0.0,0.0
2026-02-13,1230.0,1267.0,1185.0,1212.0,1212.0,535600,0.0,0.0
2026-02-16,1182.0,1196.0,1127.0,1148.0,1148.0,273400,0.0,0.0
2026-02-17,1127.0,1134.0,1024.0,1040.0,1040.0,391200,0.0,0.0
2026-02-18,1035.0,1035.0,999.0,1005.0,1005.0,200500,0.0,0.0
2026-02-19,1005.0,1055.0,998.0,1047.0,1047.0,184800,0.0,0.0
2026-02-20,1038.0,1038.0,1001.0,1015.0,1015.0,112900,0.0,0.0
2026-02-24,1000.0,1000.0,976.0,976.0,976.0,135800,0.0,0.0
2026-02-25,976.0,1012.0,976.0,993.0,993.0,99300,0.0,0.0
2026-02-26,1000.0,1026.0,990.0,1020.0,1020.0,106000,0.0,0.0
2026-02-27,1035.0,1035.0,1011.0,1016.0,1016.0,92400,0.0,0.0
2026-03-02,993.0,1000.0,976.0,982.0,982.0,126600,0.0,0.0
2026-03-03,990.0,997.0,960.0,964.0,964.0,117600,0.0,0.0
2026-03-04,965.0,973.0,924.0,947.0,947.0,164700,0.0,0.0
2026-03-05,977.0,998.0,975.0,990.0,990.0,108800,0.0,0.0
2026-03-06,990.0,1030.0,982.0,1010.0,1010.0,121300,0.0,0.0
2026-03-09,953.0,968.0,932.0,959.0,959.0,186900,0.0,0.0
2026-03-10,974.0,1003.0,969.0,995.0,995.0,109000,0.0,0.0
2026-03-11,1000.0,1007.0,991.0,998.0,998.0,86500,0.0,0.0
2026-03-12,990.0,990.0,960.0,974.0,974.0,77900,0.0,0.0
2026-03-13,945.0,964.0,943.0,954.0,954.0,93100,0.0,0.0
2026-03-16,941.0,961.0,941.0,951.0,951.0,58700,0.0,0.0
2026-03-17,966.0,983.0,959.0,965.0,965.0,53500,0.0,0.0
2026-03-18,965.0,990.0,965.0,988.0,988.0,51400,0.0,0.0
2026-03-19,987.0,987.0,947.0,948.0,948.0,68700,0.0,0.0
