week,margin_short,margin_long,ratio
2025-05-16,0.0,322.0,
2025-05-23,0.0,318.6,
2025-05-30,0.0,307.4,
2025-06-06,0.0,298.6,
2025-06-13,0.2,290.2,1451.0
2025-06-20,0.0,274.8,
2025-07-04,0.0,222.4,
2025-07-11,0.0,217.0,
2025-07-18,0.0,213.8,
2025-07-25,0.0,208.8,
2025-08-01,0.0,184.2,
2025-08-08,0.0,182.0,
2025-08-15,0.0,162.6,
2025-08-22,0.0,161.8,
2025-08-29,0.0,158.6,
2025-09-05,0.0,155.8,
2025-09-12,0.0,153.6,
2025-09-19,0.0,145.8,
2025-09-26,0.0,179.8,
2025-10-03,0.0,156.6,
2025-10-10,0.0,159.0,
2025-10-17,0.0,155.2,
2025-10-24,0.0,151.8,
2025-10-31,0.0,149.6,
2025-11-07,0.0,142.4,
2025-11-14,0.2,140.6,703.0
2025-11-21,0.0,130.6,
2025-11-28,0.0,123.2,
2025-12-05,0.0,128.8,
2025-12-12,0.0,125.6,
2025-12-19,0.0,125.6,
2025-12-26,0.0,127.4,
2026-01-09,0.0,118.4,
2026-01-16,0.0,116.8,
2026-01-23,0.0,110.8,
2026-01-30,0.0,111.0,
2026-02-06,0.0,104.6,
2026-02-13,0.0,102.4,
2026-02-20,0.0,93.0,
2026-02-27,0.0,88.0,
2026-03-06,0.0,85.8,
2026-03-13,0.0,86.4,
2026-03-19,0.0,85.8,
2026-03-20,0.0,42900.0,
2026-03-27,0.0,83.6,
2026-04-03,0.0,82.8,
2026-04-10,0.0,82.6,
2026-04-17,0.0,82.8,
2026-04-24,0.0,83.2,
2026-05-01,0.0,81.8,
2026-05-15,0.0,82.7,
2026-05-22,0.0,81.2,
2026-05-29,0.0,85.9,
2026-06-05,0.0,86.6,
2026-06-12,0.0,99.4,
2026-06-19,0.0,95.5,
2026-06-26,0.0,95.9,
2026-07-17,0.0,79.6,
2026-07-24,0.0,79.4,
2026-07-31,0.0,78.7,
2026-08-07,0.0,76.1,
2026-08-14,0.0,76.6,
2026-08-21,0.0,114.5,
2026-08-28,0.0,115.1,
