week,margin_short,margin_long,ratio
2025-05-30,17.6,99.5,5.65
2025-06-06,26.7,73.5,2.75
2025-06-13,36.9,54.7,1.48
2025-06-20,38.8,66.0,1.7
2025-07-04,42.8,39.7,0.93
2025-07-11,42.1,40.8,0.97
2025-07-18,43.4,43.1,0.99
2025-07-25,43.4,43.1,0.99
2025-08-01,41.9,50.5,1.21
2025-08-08,49.6,67.3,1.36
2025-08-15,43.3,74.0,1.71
2025-08-22,39.8,69.1,1.74
2025-08-29,41.4,67.3,1.63
2025-09-05,39.0,65.6,1.68
2025-09-12,32.6,76.0,2.33
2025-09-19,38.4,76.7,2.0
2025-09-26,37.1,76.6,2.06
2025-10-03,38.9,77.4,1.99
2025-10-10,41.5,78.5,1.89
2025-10-17,34.6,77.1,2.23
2025-10-24,27.9,88.9,3.19
2025-10-31,27.0,98.0,3.63
2025-11-07,26.5,117.1,4.42
2025-11-14,35.4,103.0,2.91
2025-11-21,37.9,96.5,2.55
2025-11-28,43.8,101.8,2.32
2025-12-05,41.3,87.7,2.12
2025-12-12,38.0,85.9,2.26
2025-12-19,38.5,93.1,2.42
2025-12-26,41.8,82.5,1.97
2026-01-09,40.4,70.5,1.75
2026-01-16,37.5,64.6,1.72
2026-01-23,41.3,67.8,1.64
2026-01-30,49.8,63.2,1.27
2026-02-06,40.3,107.6,2.67
2026-02-13,44.4,107.8,2.43
2026-02-20,52.6,102.0,1.94
2026-02-27,52.3,99.5,1.9
2026-03-06,50.7,84.3,1.66
2026-03-13,49.6,80.7,1.63
2026-03-19,52.1,78.6,1.51
2026-03-27,57.5,76.0,1.32
2026-04-03,51.3,72.2,1.41
2026-04-10,57.6,65.8,1.14
2026-04-17,51.7,87.5,1.69
2026-04-24,57.4,100.1,1.74
2026-05-01,67.6,92.8,1.37
2026-05-15,72.4,48.6,0.67
2026-05-22,70.6,49.7,0.7
2026-05-29,52.6,43.5,0.83
2026-07-17,50.9,41.6,0.82
2026-07-24,53.8,41.8,0.78
2026-07-31,55.1,39.0,0.71
2026-08-07,54.1,62.8,1.16
2026-08-14,76.3,49.3,0.65
2026-08-21,81.3,37.9,0.47
2026-08-28,78.5,42.8,0.55
