week,margin_long,margin_short,ratio
2025-05-16,115.8,21.7,5.34
2025-05-23,124.4,19.3,6.45
2025-05-30,131.3,14.2,9.25
2025-06-06,141.3,18.0,7.85
2025-06-13,141.1,16.3,8.66
2025-06-20,139.3,16.0,8.71
2025-07-04,176.6,15.5,11.39
2025-07-11,179.1,13.6,13.17
2025-07-18,197.1,10.6,18.59
2025-07-25,218.3,11.3,19.32
2025-08-01,266.9,9.4,28.39
2025-08-08,264.3,11.7,22.59
2025-08-15,214.9,9.8,21.93
2025-08-22,222.4,15.9,13.99
2025-08-29,222.0,28.8,7.71
2025-09-05,215.0,88.1,2.44
2025-09-12,208.2,211.1,0.99
2025-09-19,186.8,311.6,0.6
2025-09-26,101.7,488.1,0.21
2025-10-03,122.4,16.7,7.33
2025-10-10,127.8,14.7,8.69
2025-10-17,126.4,10.8,11.7
2025-10-24,165.0,11.8,13.98
2025-10-31,166.8,12.9,12.93
2025-11-07,183.1,19.2,9.54
2025-11-14,182.0,13.0,14.0
2025-11-21,169.4,14.2,11.93
2025-11-28,175.3,14.0,12.52
2025-12-05,197.2,14.4,13.69
2025-12-12,188.8,9.0,20.98
2025-12-19,175.2,9.4,18.64
2025-12-26,168.9,8.5,19.87
2026-01-09,171.8,6.6,26.03
2026-01-16,171.9,8.6,19.99
2026-01-23,171.9,6.4,26.86
2026-01-30,179.4,9.3,19.29
2026-02-06,182.5,6.2,29.44
2026-02-13,200.7,8.8,22.81
2026-02-20,206.2,13.6,15.16
2026-02-27,192.8,19.7,9.79
2026-03-06,192.8,41.6,4.63
2026-03-13,193.8,77.0,2.52
2026-03-19,192.2,129.8,1.48
2026-03-27,170.6,318.5,0.54
2026-04-03,174.5,6.8,25.66
2026-04-10,173.3,5.7,30.4
2026-04-17,181.8,5.4,33.67
2026-04-24,192.3,6.2,31.02
2026-05-01,190.4,6.5,29.29
2026-05-15,207.0,14.4,14.38
2026-05-22,207.3,14.2,14.6
2026-05-29,208.9,15.4,13.56
