code,name,error
6557,ＡＩＡＩグループ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7069,サイバー・バズ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7140,ペットゴー,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7689,コパ・コーポレーション,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7707,ＰＳＳ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
9235,売れるＧ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
303A,ｖｉｓｕｍｏ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
2326,デジタルアーツ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
6088,シグマクシス,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
6264,マルマエ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7173,東京きらぼし,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7421,カッパ・クリエイト,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
8798,アドバンスクリエイト,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
1450,ＴＡＮＡＫＥＮ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
1764,工藤建設,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
1768,ソネック,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
1795,マサル,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
1807,佐藤渡辺,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
2112,塩水港精糖,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
2152,幼児活動研究会,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
2304,ＣＳＳホールディングス,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
2454,オールアバウト,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
2485,ティア,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
2806,ユタカフーズ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
2877,日東ベスト,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3135,マーケットＥ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3143,オーウイル,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3157,ジオリーブグループ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3286,トラストＨＤ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3353,メディカル一光グループ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3447,信和,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3536,アクサスＨＤ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3553,共和レザー,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3577,東海染工,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3600,フジックス,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3772,ウェルス・マネジメント,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3800,ユニリタ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3895,ハビックス,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3910,エムケイシステム,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3947,ダイナパック,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3951,朝日印刷,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3953,大村紙業,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3954,昭和パックス,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3958,笹徳印刷,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3981,ビーグリー,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
3997,トレードワークス,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
4059,まぐまぐ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
4124,大阪油化工業,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
4171,グローバルＩ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
4404,ミヨシ油脂,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
4421,ディ・アイ・システム,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
4752,昭和システム,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
4925,ハーバー研究所,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
5380,新東,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
5742,ＮＩＣ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
5816,オーナンバ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
5994,ファインシンター,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
6155,高松機械工業,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
6158,和井田製作所,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
6159,ミクロン精密,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
6408,小倉クラッチ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
6444,サンデン,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
6484,ＫＶＫ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
6928,エノモト,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7058,共栄セキュリ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7081,コーユーレンティア,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7135,Ｊクラフト,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7162,アストマックス,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7192,日本モーゲージサービス,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7264,ムロコーポレーション,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7367,セルム,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7614,オーエムツー,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7634,星医療酸器,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7636,ハンズマン,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7677,ヤシマキザイ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7812,クレステック,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7849,スターツ出版,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7857,セキ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7898,ウッドワン,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7985,ネポン,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7992,セーラー万年筆,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7997,くろがね工作所,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
7999,ＭＵＴＯＨ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
8045,横浜丸魚,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
8118,キング,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
8119,三栄コーポレーション,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
8123,川辺,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
8143,ラピーヌ,"1 validation error for Alert
alert_type
  Input should be 'exit', 'stop_loss', 'accumulation' or 'info' [type=literal_error, input_value='volume_stop', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/literal_error"
